date,open,high,low,close,volume,rsi,macd,sma50,ema20,atr,next_day_return,target,name,market_cap,share_class_shares_outstanding,weighted_shares_outstanding,total_employees,sector,daily_sentiment,symbol,asset_class
2023-06-20 04:00:00,403.49,404.32,401.26,403.38,4246881.0,69.66745543823617,6.187023714909856,383.98800000000006,394.37366089779385,4.1044362003028425,-0.005478704943229662,0,Vanguard S&P 500 ETF,,1152450000.0,,,,0.06967141530112327,VOO,US Equity - Large Cap
2023-06-21 04:00:00,402.31,403.06,400.67,401.17,3423543.0,64.7924936510768,5.953396682445202,384.4842,395.02093128848014,4.002322598885527,0.003639354886955548,1,Vanguard S&P 500 ETF,,1152450000.0,,,,0.006173569882881534,VOO,US Equity - Large Cap
2023-06-22 04:00:00,400.28,402.72,399.95,402.63,3141021.0,66.46213043492013,5.818977820172961,385.0086,395.7456044991011,3.9122426751487667,-0.0075006830092143595,0,Vanguard S&P 500 ETF,,1152450000.0,,,,0.08476885381006925,VOO,US Equity - Large Cap
2023-06-23 04:00:00,399.33,401.28,398.93,399.61,4215307.0,60.11194657074885,5.406439078276833,385.50260000000003,396.1136421658534,3.8967540800260636,-0.004129025800155284,0,Vanguard S&P 500 ETF,,1152450000.0,,,,0.17230298564080254,VOO,US Equity - Large Cap
2023-06-26 04:00:00,399.04,400.86,397.73,397.96,3250700.0,56.91245447057336,4.88998919128386,385.8664,396.28948576910545,3.840885974404688,0.0110815157302242,1,Vanguard S&P 500 ETF,,1152450000.0,,,,-0.0034153374723335968,VOO,US Equity - Large Cap
2023-06-27 04:00:00,398.8,402.93,398.39,402.37,4301299.0,62.63654630320822,4.78143171069064,386.334,396.86858236252397,3.923038907898278,0.0004473494544821044,1,Vanguard S&P 500 ETF,,1152450000.0,,,,-0.003413695694918055,VOO,US Equity - Large Cap
2023-06-28 04:00:00,401.35,403.485,400.71,402.55,4320672.0,62.85346239747923,4.65624927762542,386.77939999999995,397.4096697565693,3.839619986165448,-9.936653831832398e-05,0,Vanguard S&P 500 ETF,,1152450000.0,,,,0.17792128155073914,VOO,US Equity - Large Cap
2023-06-29 04:00:00,400.6,402.67,400.19,402.51,3914849.0,62.76625704071498,4.501918319780884,387.21880000000004,397.8954154940389,3.7409488522542658,0.011850637251248353,1,Vanguard S&P 500 ETF,,1152450000.0,,,,0.09674347291529088,VOO,US Equity - Large Cap
2023-06-30 04:00:00,405.4,408.22,405.29,407.28,5173692.0,68.39721609300648,4.710212659705746,387.754,398.7891854469876,3.883684688142552,0.0019151443724219064,1,Vanguard S&P 500 ETF,,1152450000.0,,,,-0.026947438593495212,VOO,US Equity - Large Cap
2023-07-03 04:00:00,406.92,408.06,406.68,408.06,2372019.0,69.2170333423889,4.881950815946482,388.3478,399.6721201663221,3.7023858250512838,-0.0022300642062442755,0,Vanguard S&P 500 ETF,,1152450000.0,,,,0.07425600435859647,VOO,US Equity - Large Cap
